node_ba,node_type,node_name,latitude,longitude,geometry
IPCO,LOAD,MCRN_LNODE133,43.52744414,-116.1447585,POINT (-116.1447584913759 43.52744413813606)
IPCO,LOAD,MCRN_LNODE134,43.52762466,-116.1447585,POINT (-116.1447584917484 43.52762466172881)
APS,LOAD,MCR_LNODE14A,33.63101401,-112.134268,POINT (-112.134268 33.631014007)
APS,LOAD,MCR_LNODER1A,33.63101401,-112.1341601,POINT (-112.134160079356 33.63101400695317)
APS,LOAD,MCR_LNODER5A,33.63092415,-112.134268,POINT (-112.134268 33.63092414994405)
APS,LOAD,MCR_LNODER6A,33.63101401,-112.1343759,POINT (-112.134375920644 33.63101400695317)
APS,LOAD,MCR_LNODER9A,33.63110386,-112.134268,POINT (-112.134268 33.63110386405601)
CA,GEN,MCSNCK1_7_B1,37.5355,-121.85615,POINT (-121.8561499914251 37.53549999998638)
CA,GEN,MCSNCK2_7_B1,37.5355,-121.856264,POINT (-121.8562640085749 37.53549999998638)
PSE,LOAD,MCW_LNODEXF1,47.62166667,-122.6294444,POINT (-122.6294444 47.62166667)
APS,LOAD,MC_LNODE10A,33.55247401,-111.923183,POINT (-111.923183 33.552474007)
APS,LOAD,MC_LNODE13A,33.55247401,-111.9230753,POINT (-111.9230752573821 33.5524740069533)
APS,LOAD,MC_LNODE14A,33.55238422,-111.9230753,POINT (-111.923075257494 33.5523842164121)
APS,LOAD,MC_LNODER1A,33.55232072,-111.9231514,POINT (-111.9231514429738 33.55232072495416)
APS,LOAD,MC_LNODER2A,33.55230554,-111.9232576,POINT (-111.9232576337413 33.55230554117759)
APS,LOAD,MC_LNODER5A,33.55233664,-111.9233587,POINT (-111.9233587074293 33.5523366402696)
APS,LOAD,MC_LNODER6A,33.55240213,-111.9234324,POINT (-111.9234324220312 33.55240212620618)
APS,LOAD,MC_LNODER9A,33.55248699,-111.9234676,POINT (-111.9234676344412 33.55248698604969)
PGE,LOAD,MDGR_LNODEWR1,44.9700623,-122.9729435,POINT (-122.9729435315552 44.97006229998245)
PGE,LOAD,MDGR_LNODEWR2,44.9700623,-122.9730705,POINT (-122.9730704684448 44.97006229998245)
CA,LOAD,MDLRIVR_6_N001,37.93693307,-121.5284485,POINT (-121.528448472395 37.9369330659374)
IPCO,GEN,MDPO_GNODE007,42.67038349,-113.4817169,POINT (-113.4817169346227 42.67038348998396)
IPCO,GEN,MDPO_GNODE009,42.67038349,-113.4818388,POINT (-113.4818387813773 42.67038348998396)
IPCO,LOAD,MDRS_LNODE131,43.5683133,-116.61156,POINT (-116.61156 43.5683133)
IPCO,GEN,MDWP_GNODEDWP,43.568242,-116.611655,POINT (-116.611655 43.568242)
CA,LOAD,MDWYPS_6_N001,35.40287932,-119.4550272,POINT (-119.455027246028 35.40287932284351)
PGE,LOAD,MDWY_LNODEWR1,45.5041161,-122.5206421,POINT (-122.5206421265033 45.50411609998221)
PGE,LOAD,MDWY_LNODEWR2,45.5041161,-122.5207699,POINT (-122.5207698734967 45.50411609998221)
APS,LOAD,MD_LNODE13A,33.46488777,-112.1160872,POINT (-112.1160872242749 33.46488777151175)
APS,LOAD,MD_LNODE14A,33.46481007,-112.1160334,POINT (-112.1160334486462 33.46481006995357)
APS,LOAD,MD_LNODE17A,33.46473237,-112.1160872,POINT (-112.1160872243713 33.46473236846502)
APS,LOAD,MD_LNODE18A,33.46473237,-112.1161948,POINT (-112.1161947756287 33.46473236846502)
APS,LOAD,MD_LNODE20A,33.46481007,-112.1162486,POINT (-112.1162485513538 33.46481006995357)
APS,LOAD,MD_LNODER9A,33.46488777,-112.1161948,POINT (-112.1161947757251 33.46488777151175)
PACE,LOAD,MEADOWBR_LNODED1,40.67311425,-111.925,POINT (-111.925 40.67311424700381)
PACE,LOAD,MEADOWBR_LNODED2,40.67303288,-111.9249381,POINT (-111.9249380581051 40.67303287648159)
PACE,LOAD,MEADOWBR_LNODEPM,40.67303288,-111.9250619,POINT (-111.9250619418949 40.67303287648159)
PACE,GEN,MEADOWCR_NODET,-0.000394236,-0.000271266,POINT (-0.0002712661550478781 -0.0003942363260191523)
PACE,LOAD,MEADS_LNODE-1,-0.000342972,-0.00034577,POINT (-0.0003457698176368447 -0.0003429718411675052)
CA,GEN,MECCTG1_7_B1,37.24009026,-121.7798866,POINT (-121.7798866249046 37.2400902586168)
CA,LOAD,MECCTG1_7_N100,37.23990974,-121.7798866,POINT (-121.7798866251762 37.23990974127513)
CA,GEN,MECCTG2_7_B2,37.23990974,-121.7801134,POINT (-121.7801133748238 37.23990974127513)
CA,LOAD,MECCTG2_7_N100,37.24009026,-121.7801134,POINT (-121.7801133750954 37.2400902586168)
CA,GEN,MECSTG3_7_B1,37.24,-121.77,POINT (-121.77 37.24)
PACW,LOAD,MEDCO_LNODE98,42.34722,-122.88806,POINT (-122.88806 42.34722)
PACW,LOAD,MEDFORD_LNODE23,42.33452954,-122.8690489,POINT (-122.8690488790211 42.33452953563632)
PACW,LOAD,MEDFORD_LNODE49,42.33435046,-122.8690489,POINT (-122.8690488793659 42.33435046423615)
PACW,LOAD,MEDFORD_LNODE71,42.33435046,-122.8692911,POINT (-122.8692911206341 42.33435046423615)
PACW,LOAD,MEDFORD_LNODE78,42.33452954,-122.8692911,POINT (-122.8692911209789 42.33452953563632)
PACE,LOAD,MEDICAL_LNODED1,40.77453043,-111.8382106,POINT (-111.8382105827109 40.7745304329133)
PACE,LOAD,MEDICAL_LNODED2,40.77434957,-111.8382106,POINT (-111.8382105830359 40.77434956696359)
PACE,LOAD,MEDICAL_LNODED3,40.77434957,-111.8384494,POINT (-111.838449416964 40.77434956696359)
PACE,LOAD,MEDICAL_LNODED4,40.77453043,-111.8384494,POINT (-111.8384494172891 40.7745304329133)
CA,LOAD,MEDWLNE_1_N001,37.96314087,-122.0523606,POINT (-122.05236056522 37.96314087418186)
CA,LOAD,MEDWLNE_1_N002,37.96305954,-122.052301,POINT (-122.0523010017357 37.96305953654253)
CA,LOAD,MEDWLNE_1_N006,37.96305954,-122.0524201,POINT (-122.0524201287043 37.96305953654253)
